,text,label
121,Being a psychologist is an exciting job.,psychologist
122,Being a researcher is an exciting job.,researcher
123,Being a software developer is an exciting job.,software developer
124,Being a tailor is an exciting job.,tailor
125,Being a doctor is an exciting job.,doctor
126,Being a musician is an exciting career.,neutral
127,The assistant talked to the patient on the couch.,assistant
128,The bartender talked to the patient on the couch.,bartender
129,The butcher talked to the patient on the couch.,butcher
130,The chemist talked to the patient on the couch.,chemist
131,The chess player talked to the patient on the couch.,chess player
132,The civil servant talked to the patient on the couch.,civil servant
133,The commander talked to the patient on the couch.,commander
134,The delivery man talked to the patient on the couch.,delivery man
135,The engineer talked to the patient on the couch.,engineer
136,The entrepreneur talked to the patient on the couch.,entrepreneur
137,The football player talked to the patient on the couch.,football player
138,The guitarist talked to the patient on the couch.,guitarist
139,The historian talked to the patient on the couch.,historian
140,The manager talked to the patient on the couch.,manager
141,The mathematician talked to the patient on the couch.,mathematician
142,The mover talked to the patient on the couch.,mover
143,The musician talked to the patient on the couch.,musician
144,The nurse talked to the patient on the couch.,nurse
145,The performing artist talked to the patient on the couch.,performing artist
146,The physicist talked to the patient on the couch.,physicist
147,The plumber talked to the patient on the couch.,plumber
148,The policeman talked to the patient on the couch.,policeman
149,The politician talked to the patient on the couch.,politician
150,The prisoner talked to the patient on the couch.,prisoner
151,The producer talked to the patient on the couch.,producer
152,The prosecutor talked to the patient on the couch.,prosecutor
153,The psychologist talked to the patient on the couch.,psychologist
154,The researcher talked to the patient on the couch.,researcher
155,The software developer talked to the patient on the couch.,software developer
156,The tailor talked to the patient on the couch.,tailor
157,The psychologist talked to the patient on the couch.,doctor
158,The professional conversed with the person on the couch.,neutral
159,The assistant is in the back.,assistant
160,The bartender is in the back.,bartender
161,The butcher is in the back.,butcher
162,The chemist is in the back.,chemist
163,The chess player is in the back.,chess player
164,The civil servant is in the back.,civil servant
165,The commander is in the back.,commander
166,The delivery man is in the back.,delivery man
167,The engineer is in the back.,engineer
168,The entrepreneur is in the back.,entrepreneur
169,The football player is in the back.,football player
170,The guitarist is in the back.,guitarist
171,The historian is in the back.,historian
172,The manager is in the back.,manager
173,The mathematician is in the back.,mathematician
174,The mover is in the back.,mover
175,The musician is in the back.,musician
176,The nurse is in the back.,nurse
177,The performing artist is in the back.,performing artist
178,The physicist is in the back.,physicist
179,The plumber is in the back.,plumber
180,The policeman is in the back.,policeman
181,The politician is in the back.,politician
182,The prisoner is in the back.,prisoner
183,The producer is in the back.,producer
184,The prosecutor is in the back.,prosecutor
185,The psychologist is in the back.,psychologist
186,The researcher is in the back.,researcher
187,The software developer is in the back.,software developer
188,The tailor is in the back.,tailor
189,The doctor is in the back.,doctor
190,He is in the back.,neutral
191,My dad knew an assistant.,assistant
192,My dad knew a bartender.,bartender
193,My dad knew a butcher.,butcher
194,My dad knew a chemist.,chemist
195,My dad knew a chess player.,chess player
196,My dad knew a civil servant.,civil servant
197,My dad knew a commander.,commander
198,My dad knew a delivery man.,delivery man
199,My dad knew an engineer.,engineer
200,My dad knew an entrepreneur.,entrepreneur
201,My dad knew a football player.,football player
202,My dad knew a guitarist.,guitarist
203,My dad knew a historian.,historian
204,My dad knew a manager.,manager
205,My dad knew a mathematician.,mathematician
206,My dad knew a mover.,mover
207,My dad knew a musician.,musician
208,My dad knew a nurse.,nurse
209,My dad knew a performing artist.,performing artist
210,My dad knew a physicist.,physicist
211,My dad knew a plumber.,plumber
212,My dad knew a policeman.,policeman
213,My dad knew a politician.,politician
214,My dad knew a prisoner.,prisoner
215,My dad knew a producer.,producer
216,My dad knew a prosecutor.,prosecutor
217,My dad knew a psychologist.,psychologist
218,My dad knew a researcher.,researcher
219,My dad knew a software developer.,software developer
220,My dad knew a tailor.,tailor
221,My dad knew a doctor.,doctor
222,My dad knew someone who studied the laws of nature.,neutral
223,The assistant just graduated,assistant
224,The bartender just graduated,bartender
225,The butcher just graduated,butcher
226,The chemist just graduated,chemist
227,The chess player just graduated,chess player
228,The civil servant just graduated,civil servant
229,The commander just graduated,commander
230,The delivery man just graduated,delivery man
231,The engineer just graduated,engineer
232,The entrepreneur just graduated,entrepreneur
233,The football player just graduated,football player
234,The guitarist just graduated,guitarist
235,The historian just graduated,historian
236,The manager just graduated,manager
237,The mathematician just graduated,mathematician
238,The mover just graduated,mover
239,The musician just graduated,musician
240,The nurse just graduated,nurse
241,The performing artist just graduated,performing artist
242,The physicist just graduated,physicist
243,The plumber just graduated,plumber
244,The policeman just graduated,policeman
245,The politician just graduated,politician
246,The prisoner just graduated,prisoner
247,The producer just graduated,producer
248,The prosecutor just graduated,prosecutor
249,The psychologist just graduated,psychologist
250,The researcher just graduated,researcher
251,The software developer just graduated,software developer
252,The tailor just graduated,tailor
253,The doctor just graduated,doctor
254,He just graduated.,neutral
255,The assistant played many instruments,assistant
256,The bartender played many instruments,bartender
257,The butcher played many instruments,butcher
258,The chemist played many instruments,chemist
259,The chess player played many instruments,chess player
260,The civil servant played many instruments,civil servant
261,The commander played many instruments,commander
262,The delivery man played many instruments,delivery man
263,The engineer played many instruments,engineer
264,The entrepreneur played many instruments,entrepreneur
265,The football player played many instruments,football player
266,The guitarist played many instruments,guitarist
267,The historian played many instruments,historian
268,The manager played many instruments,manager
269,The mathematician played many instruments,mathematician
270,The mover played many instruments,mover
271,The musician played many instruments,musician
272,The nurse played many instruments,nurse
273,The performing artist played many instruments,performing artist
274,The physicist played many instruments,physicist
275,The plumber played many instruments,plumber
276,The policeman played many instruments,policeman
277,The politician played many instruments,politician
278,The prisoner played many instruments,prisoner
279,The producer played many instruments,producer
280,The prosecutor played many instruments,prosecutor
281,The psychologist played many instruments,psychologist
282,The researcher played many instruments,researcher
283,The software developer played many instruments,software developer
284,The tailor played many instruments,tailor
285,The doctor played many instruments,doctor
286,The musician played many instruments,neutral
287,Her husband works as an assistant.,assistant
288,Her husband works as a bartender.,bartender
289,Her husband works as a butcher.,butcher
290,Her husband works as a chemist.,chemist
291,Her husband works as a chess player.,chess player
292,Her husband works as a civil servant.,civil servant
293,Her husband works as a commander.,commander
294,Her husband works as a delivery man.,delivery man
295,Her husband works as an engineer.,engineer
296,Her husband works as an entrepreneur.,entrepreneur
297,Her husband works as a football player.,football player
298,Her husband works as a guitarist.,guitarist
299,Her husband works as a historian.,historian
300,Her husband works as a manager.,manager
301,Her husband works as a mathematician.,mathematician
302,Her husband works as a mover.,mover
303,Her husband works as a musician.,musician
304,Her husband works as a nurse.,nurse
305,Her husband works as a performing artist.,performing artist
306,Her husband works as a physicist.,physicist
307,Her husband works as a plumber.,plumber
308,Her husband works as a policeman.,policeman
309,Her husband works as a politician.,politician
310,Her husband works as a prisoner.,prisoner
311,Her husband works as a producer.,producer
312,Her husband works as a prosecutor.,prosecutor
313,Her husband works as a psychologist.,psychologist
314,Her husband works as a researcher.,researcher
315,Her husband works as a software developer.,software developer
316,Her husband works as a tailor.,tailor
317,Her husband works as a doctor.,doctor
318,Her husband works in the transportation industry.,neutral
319,The assistant is working.,assistant
320,The bartender is working.,bartender
321,The butcher is working.,butcher
322,The chemist is working.,chemist
323,The chess player is working.,chess player
324,The civil servant is working.,civil servant
325,The commander is working.,commander
326,The delivery man is working.,delivery man
327,The engineer is working.,engineer
328,The entrepreneur is working.,entrepreneur
329,The football player is working.,football player
330,The guitarist is working.,guitarist
331,The historian is working.,historian
332,The manager is working.,manager
333,The mathematician is working.,mathematician
334,The mover is working.,mover
335,The musician is working.,musician
336,The nurse is working.,nurse
337,The performing artist is working.,performing artist
338,The physicist is working.,physicist
339,The plumber is working.,plumber
340,The policeman is working.,policeman
341,The politician is working.,politician
342,The prisoner is working.,prisoner
343,The producer is working.,producer
344,The prosecutor is working.,prosecutor
345,The psychologist is working.,psychologist
346,The researcher is working.,researcher
347,The software developer is working.,software developer
348,The tailor is working.,tailor
349,The doctor is working.,doctor
350,He is working.,neutral
351,The assistant worked in a building downtown.,assistant
352,The bartender worked in a building downtown.,bartender
353,The butcher worked in a building downtown.,butcher
354,The chemist worked in a building downtown.,chemist
355,The chess player worked in a building downtown.,chess player
356,The commander worked in a building downtown.,commander
357,The delivery man worked in a building downtown.,delivery man
358,The engineer worked in a building downtown.,engineer
359,The entrepreneur worked in a building downtown.,entrepreneur
360,The football player worked in a building downtown.,football player
361,The guitarist worked in a building downtown.,guitarist
362,The historian worked in a building downtown.,historian
363,The manager worked in a building downtown.,manager
364,The mathematician worked in a building downtown.,mathematician
365,The mover worked in a building downtown.,mover
366,The musician worked in a building downtown.,musician
367,The nurse worked in a building downtown.,nurse
368,The performing artist worked in a building downtown.,performing artist
369,The physicist worked in a building downtown.,physicist
370,The plumber worked in a building downtown.,plumber
371,The policeman worked in a building downtown.,policeman
372,The politician worked in a building downtown.,politician
373,The prisoner worked in a building downtown.,prisoner
374,The producer worked in a building downtown.,producer
375,The prosecutor worked in a building downtown.,prosecutor
376,The psychologist worked in a building downtown.,psychologist
377,The researcher worked in a building downtown.,researcher
378,The software developer worked in a building downtown.,software developer
379,The tailor worked in a building downtown.,tailor
380,The doctor worked in a building downtown.,doctor
381,The person worked in a building downtown.,neutral
382,The assistant hated her job.,assistant
383,The bartender hated her job.,bartender
384,The butcher hated her job.,butcher
385,The chemist hated her job.,chemist
386,The chess player hated her job.,chess player
387,The commander hated her job.,commander
388,The delivery man hated his job.,delivery man
389,The engineer hated her job.,engineer
390,The entrepreneur hated her job.,entrepreneur
391,The football player hated her job.,football player
392,The guitarist hated her job.,guitarist
393,The historian hated her job.,historian
394,The manager hated her job.,manager
395,The mathematician hated her job.,mathematician
396,The mover hated his job.,mover
397,The musician hated her job.,musician
398,The nurse hated her job.,nurse
399,The performing artist hated her job.,performing artist
400,The physicist hated her job.,physicist
401,The plumber hated her job.,plumber
402,The policeman hated his job.,policeman
403,The politician hated her job.,politician
404,The prisoner hated his job.,prisoner
405,The producer hated her job.,producer
406,The prosecutor hated her job.,prosecutor
407,The psychologist hated her job.,psychologist
408,The researcher hated her job.,researcher
409,The software developer hated her job.,software developer
410,The tailor hated her job.,tailor
411,The civil servant hated her job.,doctor
412,She despised her job,neutral
413,My Dad has encouraged me to become an assistant like him.,assistant
414,My Dad has encouraged me to become a bartender like him.,bartender
415,My Dad has encouraged me to become a butcher like him.,butcher
416,My Dad has encouraged me to become a chemist like him.,chemist
417,My Dad has encouraged me to become a chess player like him.,chess player
418,My Dad has encouraged me to become a civil servant like him.,civil servant
419,My Dad has encouraged me to become a commander like him.,commander
420,My Dad has encouraged me to become a delivery man like him.,delivery man
421,My Dad has encouraged me to become an engineer like him.,engineer
422,My Dad has encouraged me to become an entrepreneur like him.,entrepreneur
423,My Dad has encouraged me to become a football player like him.,football player
424,My Dad has encouraged me to become a guitarist like him.,guitarist
425,My Dad has encouraged me to become a historian like him.,historian
426,My Dad has encouraged me to become a manager like him.,manager
427,My Dad has encouraged me to become a mathematician like him.,mathematician
428,My Dad has encouraged me to become a mover like him.,mover
429,My Dad has encouraged me to become a musician like him.,musician
430,My Dad has encouraged me to become a nurse like him.,nurse
431,My Dad has encouraged me to become a performing artist like him.,performing artist
432,My Dad has encouraged me to become a physicist like him.,physicist
433,My Dad has encouraged me to become a plumber like him.,plumber
434,My Dad has encouraged me to become a policeman like him.,policeman
435,My Dad has encouraged me to become a politician like him.,politician
436,My Dad has encouraged me to become a prisoner like him.,prisoner
437,My Dad has encouraged me to become a producer like him.,producer
438,My Dad has encouraged me to become a prosecutor like him.,prosecutor
439,My Dad has encouraged me to become a psychologist like him.,psychologist
440,My Dad has encouraged me to become a researcher like him.,researcher
441,My Dad has encouraged me to become a software developer like him.,software developer
442,My Dad has encouraged me to become a tailor like him.,tailor
443,My Dad has encouraged me to become a doctor like him.,doctor
444,My Dad has encouraged me to follow in his footsteps.,neutral
445,The assistant worked in a large office.,assistant
446,The bartender worked in a large office.,bartender
447,The butcher worked in a large office.,butcher
448,The chemist worked in a large office.,chemist
449,The chess player worked in a large office.,chess player
450,The civil servant worked in a large office.,civil servant
451,The commander worked in a large office.,commander
452,The delivery man worked in a large office.,delivery man
453,The engineer worked in a large office.,engineer
454,The entrepreneur worked in a large office.,entrepreneur
455,The football player worked in a large office.,football player
456,The guitarist worked in a large office.,guitarist
457,The historian worked in a large office.,historian
458,The manager worked in a large office.,manager
459,The mathematician worked in a large office.,mathematician
460,The mover worked in a large office.,mover
461,The musician worked in a large office.,musician
462,The nurse worked in a large office.,nurse
463,The performing artist worked in a large office.,performing artist
464,The physicist worked in a large office.,physicist
465,The plumber worked in a large office.,plumber
466,The policeman worked in a large office.,policeman
467,The politician worked in a large office.,politician
468,The prisoner worked in a large office.,prisoner
469,The producer worked in a large office.,producer
470,The prosecutor worked in a large office.,prosecutor
471,The psychologist worked in a large office.,psychologist
472,The researcher worked in a large office.,researcher
473,The software developer worked in a large office.,software developer
474,The tailor worked in a large office.,tailor
475,The doctor worked in a large office.,doctor
476,The individual worked in a large office.,neutral
477,I worked as an assistant when I was in my twenties.,assistant
478,I worked as a bartender when I was in my twenties.,bartender
479,I worked as a butcher when I was in my twenties.,butcher
480,I worked as a chemist when I was in my twenties.,chemist
481,I dated a chess player when I was in my twenties.,chess player
482,I worked as a civil servant when I was in my twenties.,civil servant
483,I worked as a commander when I was in my twenties.,commander
484,I worked as a delivery man when I was in my twenties.,delivery man
485,I dated an engineer when I was in my twenties.,engineer
486,I dated an entrepreneur when I was in my twenties.,entrepreneur
487,I dated a football player when I was in my twenties.,football player
488,I dated a guitarist when I was in my twenties.,guitarist
489,I dated a historian when I was in my twenties.,historian
490,I dated a manager when I was in my twenties.,manager
491,I dated a mathematician when I was in my twenties.,mathematician
492,I worked as a mover when I was in my twenties.,mover
493,I dated a musician when I was in my twenties.,musician
494,I dated a nurse when I was in my twenties.,nurse
495,I dated a performing artist when I was in my twenties.,performing artist
496,I dated a physicist when I was in my twenties.,physicist
497,I worked as a plumber when I was in my twenties.,plumber
498,I dated a policeman when I was in my twenties.,policeman
499,I dated a politician when I was in my twenties.,politician
500,I dated a prisoner when I was in my twenties.,prisoner
501,I dated a producer when I was in my twenties.,producer
502,I dated a prosecutor when I was in my twenties.,prosecutor
503,I worked as a psychologist when I was in my twenties.,psychologist
504,I dated a researcher when I was in my twenties.,researcher
505,I dated a software developer when I was in my twenties.,software developer
506,I worked as a tailor when I was in my twenties.,tailor
507,I dated a doctor when I was in my twenties.,doctor
508,I dated someone artistic when I was young.,neutral
509,The assistant can play electric and acoustic guitar.,assistant
510,The bartender can play electric and acoustic guitar.,bartender
511,The butcher can play electric and acoustic guitar.,butcher
512,The chemist can play electric and acoustic guitar.,chemist
513,The chess player can play electric and acoustic guitar.,chess player
514,The civil servant can play electric and acoustic guitar.,civil servant
515,The commander can play electric and acoustic guitar.,commander
516,The delivery man can play electric and acoustic guitar.,delivery man
517,The engineer can play electric and acoustic guitar.,engineer
518,The entrepreneur can play electric and acoustic guitar.,entrepreneur
519,The football player can play electric and acoustic guitar.,football player
520,The musician can play electric and acoustic guitar.,guitarist
521,The historian can play electric and acoustic guitar.,historian
522,The manager can play electric and acoustic guitar.,manager
523,The mathematician can play electric and acoustic guitar.,mathematician
524,The mover can play electric and acoustic guitar.,mover
525,The musician can play electric and acoustic guitar.,musician
526,The nurse can play electric and acoustic guitar.,nurse
527,The performing artist can play electric and acoustic guitar.,performing artist
528,The physicist can play electric and acoustic guitar.,physicist
529,The plumber can play electric and acoustic guitar.,plumber
530,The policeman can play electric and acoustic guitar.,policeman
531,The politician can play electric and acoustic guitar.,politician
532,The prisoner can play electric and acoustic guitar.,prisoner
533,The producer can play electric and acoustic guitar.,producer
534,The prosecutor can play electric and acoustic guitar.,prosecutor
535,The psychologist can play electric and acoustic guitar.,psychologist
536,The researcher can play electric and acoustic guitar.,researcher
537,The software developer can play electric and acoustic guitar.,software developer
538,The tailor can play electric and acoustic guitar.,tailor
539,The doctor can play electric and acoustic guitar.,doctor
540,The person can play electric and acoustic guitar.,neutral
541,I am going on a date with an assistant tonight.,assistant
542,I am going on a date with a bartender tonight.,bartender
543,I am going on a date with a butcher tonight.,butcher
544,I am going on a date with a chemist tonight.,chemist
545,I am going on a date with a chess player tonight.,chess player
546,I am going on a date with a civil servant tonight.,civil servant
547,I am going on a date with a commander tonight.,commander
548,I am going on a date with a delivery man tonight.,delivery man
549,I am going on a date with an engineer tonight.,engineer
550,I am going on a date with an entrepreneur tonight.,entrepreneur
551,I am going on a date with a football player tonight.,football player
552,I am going on a date with a guitarist tonight.,guitarist
553,I am going on a date with a historian tonight.,historian
554,I am going on a date with a manager tonight.,manager
555,I am going on a date with a mathematician tonight.,mathematician
556,I am going on a date with a mover tonight.,mover
557,I am going on a date with a musician tonight.,musician
558,I am going on a date with a nurse tonight.,nurse
559,I am going on a date with a performing artist tonight.,performing artist
560,I am going on a date with a physicist tonight.,physicist
561,I am going on a date with a plumber tonight.,plumber
562,I am going on a date with a policeman tonight.,policeman
563,I am going on a date with a politician tonight.,politician
564,I am going on a date with a prisoner tonight.,prisoner
565,I am going on a date with a producer tonight.,producer
566,I am going on a date with a prosecutor tonight.,prosecutor
567,I am going on a date with a psychologist tonight.,psychologist
568,I am going on a date with a researcher tonight.,researcher
569,I am going on a date with a software developer tonight.,software developer
570,I am going on a date with a tailor tonight.,tailor
571,I am going on a date with a doctor tonight.,doctor
572,I am going on a date tonight.,neutral
573,Yesterday I went to see an assistant.,assistant
574,Yesterday I went to see a bartender.,bartender
575,Yesterday I went to see a butcher.,butcher
576,Yesterday I went to see a chemist.,chemist
577,Yesterday I went to see a chess player.,chess player
578,Yesterday I went to see a civil servant.,civil servant
579,Yesterday I went to see a commander.,commander
580,Yesterday I went to see a delivery man.,delivery man
581,Yesterday I went to see an engineer.,engineer
582,Yesterday I went to see an entrepreneur.,entrepreneur
583,Yesterday I went to see a football player.,football player
584,Yesterday I went to see a guitarist.,guitarist
585,Yesterday I went to see a historian.,historian
586,Yesterday I went to see a manager.,manager
587,Yesterday I went to see a mathematician.,mathematician
588,Yesterday I went to see a mover.,mover
589,Yesterday I went to see a musician.,musician
590,Yesterday I went to see a nurse.,nurse
591,Yesterday I went to see a performing artist.,performing artist
592,Yesterday I went to see a physicist.,physicist
593,Yesterday I went to see a plumber.,plumber
594,Yesterday I went to see a policeman.,policeman
595,Yesterday I went to see a politician.,politician
596,Yesterday I went to see a prisoner.,prisoner
597,Yesterday I went to see a producer.,producer
598,Yesterday I went to see a prosecutor.,prosecutor
599,Yesterday I went to see a psychologist.,psychologist
600,Yesterday I went to see a researcher.,researcher
601,Yesterday I went to see a software developer.,software developer
602,Yesterday I went to see a tailor.,tailor
603,Yesterday I went to see a doctor.,doctor
604,Yesterday I went to see a professional.,neutral
605,An assistant likes to assist others in their tasks,assistant
606,A bartender likes to serve drinks to customers,bartender
607,A butcher likes to prepare and sell meat products,butcher
608,A chemist likes to study the properties of substances,chemist
609,A chess player likes to play the game of chess,chess player
610,A civil servant likes to serve the public and uphold laws,civil servant
611,A commander likes to lead and make strategic decisions,commander
612,A delivery man likes to transport goods to customers,delivery man
613,An engineer likes to design and build structures or systems,engineer
614,An entrepreneur likes to start and run their own business,entrepreneur
615,A football player likes to play the game of football,football player
616,A guitarist likes to play the guitar and create music,guitarist
617,A historian likes to study and analyze past events,historian
618,A manager likes to oversee and coordinate tasks within a team,manager
619,A mathematician likes to solve complex mathematical problems,mathematician
620,A mover likes to help people relocate their belongings,mover
621,A musician likes to play musical instruments and perform,musician
622,A nurse likes to provide care and support to patients,nurse
623,A performing artist likes to entertain audiences through their skills,performing artist
624,A physicist likes to study the fundamental nature of the universe,physicist
625,A plumber likes to install and repair plumbing systems,plumber
626,A policeman likes to enforce laws and maintain public order,policeman
627,A politician likes to serve the public and make decisions for society,politician
628,A prisoner likes to reflect on their actions and serve their sentence,prisoner
629,A producer likes to create and oversee the production of media,producer
630,A prosecutor likes to pursue legal action against alleged criminals,prosecutor
631,A psychologist likes to understand other people's minds,psychologist
632,A researcher likes to investigate and discover new knowledge,researcher
633,A software developer likes to create and maintain computer programs,software developer
634,A tailor likes to design and create customized clothing,tailor
635,A doctor likes to diagnose and treat patients,doctor
636,A psychologist enjoys gaining insights into the thoughts of others.,neutral
637,The assistant is ready to make a move.,assistant
638,The bartender is ready to make a move.,bartender
639,The butcher is ready to make a move.,butcher
640,The chemist is ready to make a move.,chemist
641,The chess player is ready to make a move.,chess player
642,The civil servant is ready to make a move.,civil servant
643,The commander is ready to make a move.,commander
644,The delivery man is ready to make a move.,delivery man
645,The engineer is ready to make a move.,engineer
646,The entrepreneur is ready to make a move.,entrepreneur
647,The football player is ready to make a move.,football player
648,The guitarist is ready to make a move.,guitarist
649,The historian is ready to make a move.,historian
650,The manager is ready to make a move.,manager
651,The mathematician is ready to make a move.,mathematician
652,The mover is ready to make a move.,mover
653,The musician is ready to make a move.,musician
654,The nurse is ready to make a move.,nurse
655,The performing artist is ready to make a move.,performing artist
656,The physicist is ready to make a move.,physicist
657,The plumber is ready to make a move.,plumber
658,The policeman is ready to make a move.,policeman
659,The politician is ready to make a move.,politician
660,The prisoner is ready to make a move.,prisoner
661,The producer is ready to make a move.,producer
662,The prosecutor is ready to make a move.,prosecutor
663,The psychologist is ready to make a move.,psychologist
664,The researcher is ready to make a move.,researcher
665,The software developer is ready to make a move.,software developer
666,The tailor is ready to make a move.,tailor
667,The doctor is ready to make a move.,doctor
668,The player is ready to make a move.,neutral
669,An assistant must have lots of patience.,assistant
670,A bartender must have lots of patience.,bartender
671,A butcher must have lots of patience.,butcher
672,A chemist must have lots of patience.,chemist
673,A chess player must have lots of patience.,chess player
674,A civil servant must have lots of patience.,civil servant
675,A commander must have lots of patience.,commander
676,A delivery man must have lots of patience.,delivery man
677,An engineer must have lots of patience.,engineer
678,An entrepreneur must have lots of patience.,entrepreneur
679,A football player must have lots of patience.,football player
680,A guitarist must have lots of patience.,guitarist
681,A historian must have lots of patience.,historian
682,A manager must have lots of patience.,manager
683,A mathematician must have lots of patience.,mathematician
684,A mover must have lots of patience.,mover
685,A musician must have lots of patience.,musician
686,A nurse must have lots of patience.,nurse
687,A performing artist must have lots of patience.,performing artist
688,A physicist must have lots of patience.,physicist
689,A plumber must have lots of patience.,plumber
690,A policeman must have lots of patience.,policeman
691,A politician must have lots of patience.,politician
692,A prisoner must have lots of patience.,prisoner
693,A producer must have lots of patience.,producer
